company,invoice_num,invoice_date,operation_date,amount,reporter,notes,status,kind
ACME,A83876,07/31/2014,07/29/2014,11315.13,Madie Brekke,"Nemo repellat dolores.
Culpa id sed quis sed.
Consequatur doloribus suscipit ad adipisci doloremque architecto vitae.",other,internal;other;Client
ACME,A88427,2013-02-19,2013-02-19,12362.27,Mathilde West,Quibusdam ad aut recusandae.,other,client
Wesoła Gżegżółka,W91426,2014-11-29,2014-11-23,15918.49,Alize Herzog,"Amet molestias a.
Facere cumque quod est ratione error.",rejected,internal
MS Szpadel,M48495,2014-03-23,2014-03-23,16010.91,Lacey Hyatt,Unde illo quae dolores rerum explicabo rerum voluptatem.,accepted,Other
Company X,C82839,2014-10-01,2014-10-01,12400.40,Shemar Rippin I,Reiciendis qui quibusdam consequatur aperiam necessitatibus.,accepted,""
ACME,A96378,2014-08-11,2014-08-07,10050.7,Lisa Homenick,"Totam porro pariatur eveniet et.
Enim dolorem quibusdam illo.",rejected,important;Negligible
SB Komputery,S97450,12/08/2013,12/06/2013,16445.36,Otto Mann,Blanditiis ratione tempora optio ipsam aut.,accepted,""
Microsoft,M80607,2013-04-07,2013-04-03,10981.40,Durward Reichel,"Aliquam exercitationem inventore cum voluptas dolor accusamus.
Repellat consequatur cum qui doloribus voluptatibus perspiciatis libero.
Et et occaecati.",rejected,internal;important;delegation
"Monterail, Inc.",M10489,2015-03-27,2015-03-22,10514.37,Destiny Russel IV,Qui ratione dolore in et fuga et.,accepted,""
 KT Koty,K14910,05-06-2014,02-06-2014,14058.91,Abbie Nienow,Consequatur ut sed est.,other,""
 Comcast,C39761,12-10-2013,05-10-2013,19051.66,Vernon Pouros,Deleniti eos nemo.,rejected,other
KT Koty,K50202,2013-09-22,2013-09-19,18155.86,Hailey Kub,"Fugiat consequatur quidem porro.
Incidunt deserunt aut quaerat quia.
Fugiat molestias voluptatum.
Molestiae perspiciatis illo incidunt ducimus et.",accepted,important;Client
 Big Company 1,B89264,25-01-2015,20-01-2015,10090.44,Adaline Upton,Voluptates distinctio at.,other,delegation;Internal;other;important
 SB Komputery,S34456,02-03-2014,27-02-2014,19581.11,Kendall Barton,Quo delectus dolorum nisi ut.,accepted,Delegation;other
Microsoft,M46813,2014-05-09,2014-05-01,13519.7,Sally McKenzie,Ratione aut molestiae ullam.,rejected,client;delegation;negligible
ACME,A6368,05/13/2014,05/05/2014,11819.37,Mr. Lucio Rau,Incidunt harum tempore quibusdam quidem rerum est eaque.,rejected,Other;important;negligible;internal
 MS Szpadel,M69439,01/14/2014,01/14/2014,11949.6,Jeanette Moore,"Et commodi inventore consequuntur.
Dolore laborum dolorem eos qui ut voluptatibus similique.
Id quaerat voluptatem nam eveniet amet.
Aperiam id aliquam praesentium aut aut quam.",other,client
 BP Biznes,B75495,2014-11-11,2014-11-04,13503.7,Gilberto Ritchie,"Architecto odit libero vitae porro iure consequatur ad.
Veniam et voluptas dignissimos qui.
Rerum commodi quis id aliquid quos dolores autem.
Atque quibusdam quis praesentium.",other,internal;important;Client;delegation;negligible
 Ostrzy Entertainment,O92650,01/16/2014,01/13/2014,16473.53,Vesta Boyer,"Facere nihil vel.
Esse quo tempora animi et mollitia et.",rejected,internal;client;other;delegation;negligible
" Monterail, Inc.",M96682,20-02-2015,15-02-2015,18021.79,Ms. Shania Price,Delectus vitae in fugiat minima repudiandae.,other,important
 BP Biznes,B49788,26-06-2014,21-06-2014,19479.27,Dr. Kurtis Orn,Dolorem pariatur modi dolor nulla animi nihil quaerat.,accepted,""
KT Koty,K92990,2014-04-30,2014-04-22,10472.54,Lilyan Marvin,Voluptatem commodi ut.,other,Negligible;internal;delegation;important
 BP Biznes,B30746,20-01-2015,14-01-2015,12523.66,Merlin Larkin,Sed quos magnam.,rejected,delegation;important;negligible
 Comcast,C89985,24-09-2013,23-09-2013,17715.14,Keith Ward,"Delectus sed est aut repudiandae repellendus et.
Architecto voluptatem eum doloribus et.
Mollitia qui dignissimos enim.
Nam quidem sunt rerum voluptatum perferendis.",rejected,internal;negligible;other
 BP Biznes,B8267,2012-11-26,2012-11-26,18406.9,Joy Hagenes,Dolore commodi corrupti.,rejected,delegation;Internal
 BP Biznes,B75820,16-01-2014,10-01-2014,15557.83,Hattie Schulist,Assumenda omnis aut facere repellendus.,rejected,internal;client;delegation;negligible
 Wesoła Gżegżółka,W43223,20-12-2012,11-12-2012,16065.5,Jackson Volkman Jr.,"Numquam nam veniam sed non consectetur.
Et sint magni fuga fugit quis consequuntur.
Ipsa fugiat qui.",other,Negligible
 KT Koty,K18527,09/28/2012,09/28/2012,12131.55,Orland Murazik,"Facere nostrum ullam distinctio dolorem ratione.
Hic laudantium dolorum impedit saepe voluptas.
Quibusdam consequatur est.
Voluptas deserunt eius inventore.",rejected,client;Negligible;Internal;important;other
Company X,C40612,30-07-2013,26-07-2013,10031.21,Mrs. Vita Denesik,"Et ut cupiditate voluptates quo minus harum.
Culpa est ducimus voluptates ex magnam.
Rerum ullam quo expedita velit alias sunt.
Et nostrum aperiam velit officia qui adipisci.",rejected,delegation;other;negligible;Important;Client
 Company X,C43650,05/23/2014,05/17/2014,17770.99,Marcos Walker,"Animi ipsam quis voluptatem maxime.
Eos culpa porro sed error assumenda omnis et.",rejected,delegation;Important;negligible;internal
 SB Komputery,S52923,22-11-2014,15-11-2014,10248.95,Kaylie Reynolds,Tenetur ut aut vel.,other,Internal;delegation;Important;other;client
MS Szpadel,M89352,24-01-2015,19-01-2015,17013.69,Jason Altenwerth,"Nemo enim occaecati rerum qui iure non.
Qui quos consequuntur quas maxime expedita aliquam.
Voluptatem delectus reprehenderit iure voluptatibus.",rejected,important
Ostrzy Entertainment,O9145,05/08/2014,04/30/2014,14201.99,Desiree Haag V,Deserunt tempore rerum doloremque sint placeat maxime beatae.,accepted,Negligible;Other
 BP Biznes,B37863,24-10-2014,23-10-2014,17678.22,Meaghan Ritchie,Sint ex quis animi omnis reprehenderit harum tempore.,other,negligible;important
MS Szpadel,M28858,2013-01-25,2013-01-19,14853.60,Gerhard Dooley,Dolores dignissimos illum quaerat.,rejected,""
BP Biznes,B20629,07/28/2013,07/21/2013,11986.37,Raphael Lubowitz MD,Ea ea tenetur qui.,rejected,other;client;negligible;delegation;internal
 Ostrzy Entertainment,O43751,2015-05-12,2015-05-09,12795.54,Yvette Veum,Magni aliquid dolore ut natus doloremque qui in.,rejected,Internal;Important;delegation
Microsoft,M85902,11/23/2012,11/18/2012,12326.40,Liana Witting II,Quaerat officiis soluta reprehenderit aut explicabo totam natus.,other,important;Negligible
Company X,C35836,2014-12-29,2014-12-20,12206.34,Sigmund Hintz,Ipsa necessitatibus recusandae ea sed repudiandae neque molestiae.,accepted,important;other;internal
 Wesoła Gżegżółka,W76784,03/21/2013,03/16/2013,16103.22,Nash Gutkowski,Provident voluptas sint corrupti.,rejected,important;other;internal;negligible
ACME,A7813,2013-07-06,2013-07-04,10483.65,Miguel Toy,Quidem a consequatur.,rejected,Important;negligible;delegation;internal
 Microsoft,M15978,2014-01-03,2013-12-26,19818.56,Nedra Olson PhD,Magni est eum.,accepted,other;important
BP Biznes,B21872,28-01-2015,27-01-2015,11359.25,Kory Pagac,"Voluptas illum ut atque sunt.
Repellat mollitia voluptatem fugiat.
Aut tempora error aspernatur et ducimus id.
Possimus voluptas modi nihil ut sit eius maiores.",other,Important;client;Negligible
Comcast,C79954,03/17/2013,03/12/2013,15220.13,Miss Cristopher Balistreri,Ratione voluptatibus non aut omnis veniam odio.,accepted,""
 Comcast,C29029,06/07/2014,05/30/2014,15648.18,Marjolaine Kunze II,Expedita iure corporis.,other,""
Comcast,C99163,04/21/2013,04/21/2013,19446.98,America Shanahan,Non et nihil ex qui cumque nisi rem.,accepted,""
KT Koty,K27659,27-09-2012,25-09-2012,12606.8,Miss Claud Marquardt,Qui ex eos.,accepted,""
MS Szpadel,M94332,09/08/2012,09/01/2012,11679.23,Greg Wuckert III,"Consectetur quibusdam laboriosam.
Earum placeat porro.",other,""
 Ostrzy Entertainment,O8369,2012-12-22,2012-12-19,14672.39,Dorcas Schroeder,"Eaque repellat ipsam sint nostrum vel vel earum.
Recusandae ipsum earum corporis nobis totam qui.",other,Important;negligible;internal;other;Delegation
"Monterail, Inc.",M63818,02/02/2015,01/28/2015,10791.97,Hector Dooley DDS,"Et rerum aut nihil rerum eveniet laboriosam non.
Occaecati est unde.
Laboriosam voluptatum aperiam qui esse quis.
Odit illo maxime vel placeat.",rejected,negligible;internal;delegation;Important
 Comcast,C69917,2015-02-15,2015-02-07,15035.25,Jensen Langosh,Sunt voluptas optio pariatur deleniti ipsum nisi atque.,accepted,Negligible;delegation;client;internal
TT Internet,T50912,26-11-2013,26-11-2013,12541.65,Laurie Ritchie,Et doloribus debitis iste itaque vel.,rejected,Internal;client;delegation
TT Internet,T2775,01/20/2014,01/16/2014,18698.14,Imelda Sanford,Quibusdam tempora quas molestiae.,rejected,Client;negligible;Delegation;other
Wesoła Gżegżółka,W59283,10/06/2014,09/30/2014,19055.21,Alayna Crona,"Nihil ipsum quisquam sint accusamus qui ea eveniet.
Recusandae consequatur et corrupti assumenda ipsum aut.
Voluptatibus veritatis sint voluptas dolorem.
Tenetur id a recusandae mollitia sit.",accepted,delegation;Client;Negligible;other
 Wesoła Gżegżółka,W52083,2015-05-07,2015-05-07,18597.19,Jeremy Strosin,Cupiditate ea doloribus officiis iste maxime sed.,accepted,delegation;Internal;Important
Wesoła Gżegżółka,W21252,2014-01-26,2014-01-17,17238.77,Brandi Leffler,Quae nostrum enim id.,rejected,negligible;important
 TT Internet,T77959,2013-08-30,2013-08-25,15725.60,Destini Jerde,"Architecto odit nobis voluptatum unde dolores quaerat accusantium.
Dolor possimus aut voluptatem natus autem est.",accepted,client;negligible;Internal;delegation;important
"Monterail, Inc.",M72278,2014-11-07,2014-10-30,18960.65,Jordyn Okuneva,Laboriosam ipsam quae velit qui.,accepted,internal;important;Delegation;negligible;other
KT Koty,K46251,2013-02-22,2013-02-22,19203.15,Gladys Jenkins,"Tenetur eligendi aliquid harum.
Ut et fuga molestias aliquam similique officiis quo.
Error expedita quasi officia porro.",other,client;other
SB Komputery,S74542,11-10-2014,03-10-2014,10130.68,Ola Howell PhD,Quae deserunt hic ipsum.,rejected,""
 KT Koty,K52927,09/07/2012,09/01/2012,11492.83,Ms. Arlene Treutel,Et accusantium nobis distinctio eveniet et ut.,accepted,client
 Wesoła Gżegżółka,W3482,12/25/2014,12/16/2014,15698.62,Carlee Kiehn,Voluptatem et voluptas.,other,internal;Important
 TT Internet,T34370,2014-09-26,2014-09-19,14084.65,Emma Ondricka,"Vel et libero minima necessitatibus.
Qui omnis libero non necessitatibus.
Voluptatem laudantium ullam occaecati nesciunt.",other,delegation;important;internal;client;other
 SB Komputery,S3089,09/27/2013,09/26/2013,17383.97,Valentina Block,Fuga maxime odio cupiditate aliquam.,accepted,other;Internal;Delegation
 Ostrzy Entertainment,O40820,2014-10-08,2014-10-03,15921.96,Erich Prohaska,"Totam voluptas qui.
Repellat repudiandae laborum sed nobis a.",accepted,important
 TT Internet,T94024,12/09/2013,11/30/2013,13722.77,Anais Stoltenberg,Iusto modi praesentium.,accepted,client;internal;delegation
 Big Company 1,B34840,07-08-2014,01-08-2014,15196.95,Abdiel Murray,"Quaerat ab corrupti culpa quas nostrum.
Mollitia laudantium ut est vitae.",accepted,negligible;other;delegation;internal;client
"Monterail, Inc.",M16654,2013-05-23,2013-05-21,17628.67,Toni Flatley DDS,Quasi commodi a vero nesciunt id dolorem.,accepted,negligible;other;Important;Delegation;Client
 Wesoła Gżegżółka,W97549,2015-04-13,2015-04-12,18004.64,Kenton Schiller,Est ex quisquam assumenda enim.,other,""
Comcast,C59128,11/11/2012,11/06/2012,16475.27,Mrs. Sanford Schultz,Consequatur quia vitae saepe nemo officia commodi.,accepted,negligible;client;Other;delegation
TT Internet,T93410,07-06-2014,06-06-2014,13808.49,Kitty O'Conner,Labore natus id autem consequatur deserunt.,accepted,Client;Important;Internal;other;negligible
 Big Company 1,B74880,03/03/2015,02/27/2015,14508.18,Ashtyn Barton PhD,"Laborum in quaerat assumenda qui aliquam sint iure.
Maxime quis laborum fugit.
Laudantium unde est aut iure non voluptatibus.
In adipisci quia consequatur omnis.",other,internal;Delegation
Wesoła Gżegżółka,W35931,01/22/2014,01/13/2014,17068.64,Ebba Gaylord,"Hic saepe qui dolorum.
Impedit id accusamus.",rejected,Important;client;negligible;internal;other
 ACME,A68335,20-02-2013,11-02-2013,15442.28,Marge Simonis,Rerum assumenda quibusdam dolor.,accepted,important;delegation
 Microsoft,M1757,07-12-2013,30-11-2013,11435.28,Ruth Marks,Iure dolorem odit molestiae blanditiis amet molestias nostrum.,accepted,important;internal
BP Biznes,B78894,2013-08-25,2013-08-24,10426.19,Jeramy Orn,"Nam perferendis hic in.
Nihil omnis minus et eius debitis.
Ut aut exercitationem eum consequuntur sunt debitis.",other,Negligible;internal
BP Biznes,B8926,2013-05-29,2013-05-24,19963.39,Osvaldo Macejkovic,Accusamus corporis itaque deserunt rerum vero.,accepted,important;delegation;internal
 SB Komputery,S83230,27-04-2014,24-04-2014,12228.60,Anais Cummerata,Est sequi sunt et aliquam.,other,client;other
MS Szpadel,M74087,26-12-2013,22-12-2013,16667.55,Dr. Harrison Hayes,Modi dolor et saepe.,other,client
 MS Szpadel,M22329,20-07-2013,12-07-2013,18147.7,Laurianne Thiel,Facilis aut dolores nam.,other,""
 MS Szpadel,M50156,2013-03-16,2013-03-14,13972.15,Bernita Jacobs,Velit voluptatibus rerum et et magnam minus.,rejected,negligible;Other;Client;Important;internal
Microsoft,M59779,2013-07-09,2013-07-05,17906.57,Ms. Maurice Leannon,"Animi ipsum veritatis.
Assumenda voluptas eligendi ipsa facere cum qui rem.
Iure quo neque odio tempore maiores nemo quia.
Excepturi eveniet voluptatem animi pariatur magnam a ullam.",accepted,""
TT Internet,T52555,2015-04-21,2015-04-17,18171.73,Nona Auer,"Doloribus veniam rerum possimus assumenda.
Non et cupiditate quo temporibus error.",other,""
Microsoft,M63842,2014-01-01,2013-12-23,16995.94,Miss Cortney Metz,"Sint et ex asperiores consequuntur quia.
Eos repudiandae eum distinctio in provident at.",accepted,important;Delegation
 Wesoła Gżegżółka,W50742,10/15/2014,10/13/2014,10289.46,Alexandrea Russel,Maxime unde quae omnis quo.,other,Negligible
KT Koty,K9141,10/13/2013,10/12/2013,18099.67,Furman Morissette,Ut magnam ipsa modi.,rejected,negligible;Important
 MS Szpadel,M50737,23-04-2014,23-04-2014,11737.0,Preston Pouros,"Ut consectetur earum rem quos quam.
Molestias molestiae eligendi neque provident.
Molestias et aspernatur non maiores et sit excepturi.
Iusto dolorum architecto quibusdam maiores ut accusantium repudiandae.",rejected,""
Comcast,C28734,06/03/2013,05/25/2013,17393.98,Axel Mann III,"Natus nostrum consequatur.
Ipsum harum atque est et odio.
Qui et sed.
Hic delectus quae.",other,other;client
 ACME,A47508,25-10-2013,22-10-2013,11665.17,Otis Steuber,Dolorum odit magni quidem aliquid.,rejected,negligible;internal;Other
KT Koty,K60009,29-05-2014,24-05-2014,12724.80,Alexandro Cassin,Et incidunt ut accusamus.,other,Delegation;client;other;internal
Company X,C56473,22-11-2014,18-11-2014,16549.48,Reyes Lynch,"Dolorum et et eligendi numquam consequuntur voluptatem sit.
Aspernatur exercitationem similique quo possimus.",rejected,Delegation;client;negligible
 ACME,A53795,10/22/2013,10/22/2013,11354.44,Golden Predovic,"Et enim minima iusto doloremque dolorem.
Vel debitis quisquam.",rejected,client;negligible
 Big Company 1,B11665,09/21/2013,09/15/2013,13647.87,Teagan Padberg DDS,Quia alias ut praesentium nobis.,rejected,Important;Negligible;Other;Internal;client
KT Koty,K99995,09/26/2014,09/23/2014,13778.79,Ransom Wilkinson,"Inventore sunt explicabo numquam.
Expedita tempora repudiandae qui commodi nisi sed assumenda.",rejected,internal
" Monterail, Inc.",M94506,04/03/2014,03/31/2014,14780.65,Mr. Katrine Wisoky,Voluptate repellat neque debitis ipsam.,accepted,important;internal
 ACME,A4180,29-11-2013,27-11-2013,12913.82,Alvah Runte,At atque sed consequatur autem.,rejected,internal;negligible;Important;Delegation
Big Company 1,B11140,2013-07-12,2013-07-07,13908.49,Trisha Streich,Inventore saepe quae aut omnis debitis.,other,other;internal
 KT Koty,K49308,2013-11-27,2013-11-20,13212.98,Oscar Schiller,Assumenda expedita et a.,rejected,Delegation;negligible;internal
 BP Biznes,B8265,2012-10-01,2012-09-28,13575.86,Ilene Hegmann,Dolor incidunt ab minus nam pariatur sed.,accepted,internal;client;other;Important;negligible
 SB Komputery,S42961,04-11-2014,28-10-2014,19805.66,Leonie Konopelski,Iusto non qui beatae eos.,rejected,internal;delegation;other;client;important
"Monterail, Inc.",M134,13-05-2014,09-05-2014,15941.92,Elisabeth Volkman,Aspernatur minima eveniet quo beatae.,accepted,Internal
BP Biznes,B44975,2014-06-28,2014-06-20,11434.39,Jessyca Olson IV,Est modi autem.,rejected,other;Client;internal;Delegation;important
KT Koty,K55142,10-09-2013,01-09-2013,16147.38,Cade White,Quidem dicta repellat officia enim expedita.,rejected,internal
Microsoft,M92010,2014-06-26,2014-06-24,13021.78,Mr. Tierra Blick,"Minima vel ducimus ab eos sed voluptatem eum.
Aut qui temporibus nam suscipit sit sed quis.",other,important;client
MS Szpadel,M60226,21-06-2014,15-06-2014,19929.38,Napoleon Willms III,Ab soluta cumque.,other,Internal;other;negligible;Important;delegation
SB Komputery,S36306,2015-02-13,2015-02-07,17805.21,Marcos Mertz IV,Incidunt ipsa voluptas omnis enim.,other,other;important;negligible;Client
BP Biznes,B17404,12/01/2014,11/25/2014,15310.55,Toby Heaney,Aut ut ipsum fugit atque earum expedita odit.,other,client;delegation;important;other;negligible
Company X,C17512,2013-09-08,2013-09-04,16353.65,Dr. Hellen Schuppe,Et ipsa vitae et.,accepted,important;Client;negligible;delegation
BP Biznes,B17548,2012-09-26,2012-09-19,14201.4,Tania Reichert,Quibusdam dolore esse aut placeat dolor.,other,other;Negligible
"Monterail, Inc.",M58301,08-02-2013,30-01-2013,17506.87,Annamae Muller,Quia quia labore ut ea debitis aut cupiditate.,rejected,Negligible;important;Client;internal;other
 Comcast,C1660,14-04-2015,12-04-2015,18261.88,Jerrold Rice,Mollitia voluptatum rerum.,rejected,client;delegation;Internal;negligible;important
Wesoła Gżegżółka,W4303,13-02-2015,13-02-2015,13932.34,Edward Morissette Sr.,"Distinctio in maiores ut tempora illo.
Neque provident tempore fuga repellat.",other,client;delegation;other;internal
 SB Komputery,S87391,03-12-2012,03-12-2012,15758.85,Ike Kiehn,Est sit sit qui.,rejected,negligible
